#tissue.id	Term	go.id	go.term
BTO:0000040	adenohypophysis	GO:0021984	adenohypophysis development
BTO:0000040	adenohypophysis	GO:0048847	adenohypophysis formation
BTO:0000040	adenohypophysis	GO:0048855	adenohypophysis morphogenesis
BTO:0000040	adenohypophysis	GO:0060126	somatotropin secreting cell differentiation
BTO:0000040	adenohypophysis	GO:0060127	prolactin secreting cell differentiation
BTO:0000040	adenohypophysis	GO:0060128	corticotropin hormone secreting cell differentiation
BTO:0000040	adenohypophysis	GO:0060129	thyroid-stimulating hormone-secreting cell differentiation
BTO:0000040	adenohypophysis	GO:0060130	thyroid-stimulating hormone-secreting cell development
BTO:0000040	adenohypophysis	GO:0060131	corticotropin hormone secreting cell development
BTO:0000040	adenohypophysis	GO:0060132	prolactin secreting cell development
BTO:0000040	adenohypophysis	GO:0060133	somatotropin secreting cell development
BTO:0000443	adipocyte	GO:0015032	storage protein import into fat body
BTO:0000443	adipocyte	GO:0045444	fat cell differentiation
BTO:0000443	adipocyte	GO:0045598	regulation of fat cell differentiation
BTO:0000443	adipocyte	GO:0045599	negative regulation of fat cell differentiation
BTO:0000443	adipocyte	GO:0045600	positive regulation of fat cell differentiation
BTO:0000443	adipocyte	GO:0050872	white fat cell differentiation
BTO:0000443	adipocyte	GO:0050873	brown fat cell differentiation
BTO:0000443	adipocyte	GO:0060642	white fat cell differentiation involved in mammary gland fat development
BTO:0000443	adipocyte	GO:0070341	fat cell proliferation
BTO:0000443	adipocyte	GO:0070342	brown fat cell proliferation
BTO:0000443	adipocyte	GO:0070343	white fat cell proliferation
BTO:0000443	adipocyte	GO:0070344	regulation of fat cell proliferation
BTO:0000443	adipocyte	GO:0070345	negative regulation of fat cell proliferation
BTO:0000443	adipocyte	GO:0070346	positive regulation of fat cell proliferation
BTO:0000443	adipocyte	GO:0070347	regulation of brown fat cell proliferation
BTO:0000443	adipocyte	GO:0070348	negative regulation of brown fat cell proliferation
BTO:0000443	adipocyte	GO:0070349	positive regulation of brown fat cell proliferation
BTO:0000443	adipocyte	GO:0070350	regulation of white fat cell proliferation
BTO:0000443	adipocyte	GO:0070351	negative regulation of white fat cell proliferation
BTO:0000443	adipocyte	GO:0070352	positive regulation of white fat cell proliferation
BTO:0000443	adipocyte	GO:0090335	regulation of brown fat cell differentiation
BTO:0000443	adipocyte	GO:0090336	positive regulation of brown fat cell differentiation
BTO:0001487	adipose_tissue	GO:0045444	fat cell differentiation
BTO:0001487	adipose_tissue	GO:0045598	regulation of fat cell differentiation
