#Tis.ID	Tis.Name	Dis.ID	Dis.Name
BTO:0000887	muscle	DOID:11986	familial_hypertrophic_cardiomyopathy
BTO:0000199	cardiac_muscle	DOID:11986	familial_hypertrophic_cardiomyopathy
BTO:0001539	cardiac_myocyte	DOID:11986	familial_hypertrophic_cardiomyopathy
BTO:0000562	heart	DOID:11986	familial_hypertrophic_cardiomyopathy
BTO:0000478	forebrain	DOID:14330	parkinson's_disease
BTO:0001484	nervous_system	DOID:14330	parkinson's_disease
BTO:0000239	telencephalon	DOID:14330	parkinson's_disease
BTO:0000227	central_nervous_system	DOID:14330	parkinson's_disease
BTO:0000235	basal_ganglion	DOID:14330	parkinson's_disease
BTO:0000143	substantia_nigra	DOID:14330	parkinson's_disease
BTO:0000142	brain	DOID:14330	parkinson's_disease
BTO:0000233	cerebral_cortex	DOID:14330	parkinson's_disease
BTO:0000138	midbrain	DOID:14330	parkinson's_disease
BTO:0000135	aorta	DOID:6406	double_outlet_right_ventricle
BTO:0001102	blood_vessel	DOID:6406	double_outlet_right_ventricle
BTO:0000862	heart_ventricle	DOID:6406	double_outlet_right_ventricle
BTO:0000562	heart	DOID:6406	double_outlet_right_ventricle
BTO:0000573	artery	DOID:6406	double_outlet_right_ventricle
BTO:0000562	heart	DOID:3490	noonan_syndrome
BTO:0001175	retina	DOID:14791	leber_congenital_amaurosis
BTO:0000439	eye	DOID:14791	leber_congenital_amaurosis
BTO:0000045	adrenal_cortex	DOID:445	bartter_disease
BTO:0000671	kidney	DOID:445	bartter_disease
BTO:0000047	adrenal_gland	DOID:445	bartter_disease
BTO:0000140	bone	DOID:12347	osteogenesis_imperfecta
BTO:0000562	heart	DOID:12347	osteogenesis_imperfecta
BTO:0000141	bone_marrow	DOID:12347	osteogenesis_imperfecta
BTO:0000938	neuron	DOID:14503	neuronal_ceroid_lipofuscinosis
BTO:0000379	embryo	DOID:14503	neuronal_ceroid_lipofuscinosis
BTO:0001484	nervous_system	DOID:14503	neuronal_ceroid_lipofuscinosis
BTO:0000368	ear	DOID:0050439	usher_syndrome
BTO:0000439	eye	DOID:0050439	usher_syndrome
BTO:0001175	retina	DOID:0050439	usher_syndrome
BTO:0000368	ear	DOID:9258	waardenburg's_syndrome
BTO:0000759	liver	DOID:905	zellweger_syndrome
BTO:0000671	kidney	DOID:905	zellweger_syndrome
BTO:0000562	heart	DOID:0050451	brugada_syndrome
BTO:0000751	leukocyte	DOID:0050590	severe_congenital_neutropenia
BTO:0000130	neutrophil	DOID:0050590	severe_congenital_neutropenia
BTO:0000141	bone_marrow	DOID:0050590	severe_congenital_neutropenia
BTO:0000089	blood	DOID:0050590	severe_congenital_neutropenia
BTO:0000539	granulocyte	DOID:0050590	severe_congenital_neutropenia
BTO:0000648	intestine	DOID:0050589	inflammatory_bowel_disease
BTO:0000511	gastrointestinal_tract	DOID:0050589	inflammatory_bowel_disease
BTO:0000368	ear	DOID:0050564	autosomal_dominant_nonsyndromic_deafness
BTO:0000751	leukocyte	DOID:7148	rheumatoid_arthritis
BTO:0000089	blood	DOID:7148	rheumatoid_arthritis
BTO:0001167	renal_medulla	DOID:0050576	senior-loken_syndrome
BTO:0000671	kidney	DOID:0050576	senior-loken_syndrome
BTO:0000439	eye	DOID:0050576	senior-loken_syndrome
BTO:0001175	retina	DOID:0050576	senior-loken_syndrome
BTO:0000924	nephron	DOID:0050576	senior-loken_syndrome
BTO:0000227	central_nervous_system	DOID:3652	leigh_disease
BTO:0001484	nervous_system	DOID:3652	leigh_disease
BTO:0000887	muscle	DOID:0050431	arrhythmogenic_right_ventricular_dysplasia
BTO:0000199	cardiac_muscle	DOID:0050431	arrhythmogenic_right_ventricular_dysplasia
BTO:0001539	cardiac_myocyte	DOID:0050431	arrhythmogenic_right_ventricular_dysplasia
BTO:0000562	heart	DOID:0050431	arrhythmogenic_right_ventricular_dysplasia
BTO:0001484	nervous_system	DOID:5419	schizophrenia
BTO:0000601	hippocampus	DOID:5419	schizophrenia
BTO:0000235	basal_ganglion	DOID:5419	schizophrenia
BTO:0001862	nucleus_accumbens	DOID:5419	schizophrenia
